cte_N10_dt01_wd100	steering_N10_dt01_wd100	epsi_N10_dt01_wd100	acc_N10_dt01_wd100	cost_N10_dt01_wd100		cte_N10_dt005_wd500	steering_N10_dt005_wd500	epsi_N10_dt005_wd500	acc_N10_dt005_wd500	cost_N10_dt005_wd500		cte_N10_dt01_wd500	steering_N10_dt01_wd500	epsi_N10_dt01_wd500	acc_N10_dt01_wd500	cost_N10_dt01_wd500		cte_N7_dt01_wd100	steering_N7_dt01_wd100	epsi_N7_dt01_wd100	acc_N7_dt01_wd100	cost_N7_dt01_wd100		cte_N8_dt005_wd500	steering_N8_dt005_wd500	epsi_N8_dt005_wd500	acc_N8_dt005_wd500	cost_N8_dt005_wd500		cte_N10_dt005_wd500_ad	steering_N10_dt005_wd500_ad	epsi_N10_dt005_wd500_ad	acc_N10_dt005_wd500_ad	cost_N10_dt005_wd500_ad
0.590881	-0.0224269	0.0154671	1	11386.8		0.736181	-0.0269028	-0.0101547	1	12159.4		0.673151	-0.0306381	0.00380723	1	11682.8		0.699987	-0.0283934	-0.00706188	1	9724.07		0.755991	-0.0217537	-0.017397	1	10687.8		0.760558	-0.0307223	-0.00982547	1	11560.6
0.56019	-0.0188669	0.0186582	1	10417.9		0.741514	-0.0270729	-0.00821549	1	11198.6		0.654136	-0.027075	0.00828017	1	10600.4		0.700065	-0.0268754	-0.00494424	1	9082.64		0.771169	-0.0227346	-0.0166017	1	9870.7		0.763151	-0.0294215	-0.00580477	1	10506.4
0.519626	-0.014692	0.0213764	1	9445.6		0.744227	-0.0263937	-0.00566805	1	10293.8		0.631418	-0.0240853	0.012002	1	9699.96		0.697603	-0.0258828	-0.00239672	1	8309.91		0.783513	-0.0230994	-0.0152812	1	9203.7		0.760278	-0.0275246	-0.00195872	1	9639.83
0.479953	-0.0125188	0.022975	1	8641.39		0.743112	-0.0255178	-0.00268018	1	9320.35		0.603053	-0.0208495	0.0153252	1	8883.92		0.692198	-0.0241913	0.00012565	1	7693.64		0.796404	-0.0226932	-0.0133143	1	8465.25		0.750549	-0.0255471	0.00226279	1	8710.4
0.431282	-0.00999634	0.0237996	1	7773.87		0.738023	-0.0244519	6.88E-05	1	8520.74		0.569455	-0.0164996	0.0181428	1	8106.58		0.684943	-0.0231545	0.00222956	1	7145.72		0.806978	-0.022637	-0.0113623	1	7768.92		0.73369	-0.02327	0.00622794	1	7842.33
0.386775	-0.00916603	0.023778	1	7063.8		0.726828	-0.0229066	0.00322739	1	7664.21		0.52502	-0.0153759	0.0206798	1	7275.86		0.673423	-0.021607	0.00452814	1	6540.17		0.814096	-0.0222577	-0.00953171	1	7203.57		0.712929	-0.0209675	0.00941733	1	7128.21
0.335241	-0.0082418	0.0229394	1	6305.56		0.71205	-0.0215795	0.0059235	1	6962.64		0.482059	-0.0120855	0.0220517	1	6596.14		0.658337	-0.0202793	0.00667205	1	5981.26		0.819859	-0.0218228	-0.0073711	1	6579.3		0.682509	-0.0186766	0.0126115	1	6369.29
0.29065	-0.00841726	0.021657	1	5686.94		0.689323	-0.0197449	0.00878548	1	6213.46		0.429401	-0.011249	0.0228589	1	5871.29		0.642584	-0.0185633	0.0083435	1	5526.2		0.822996	-0.0213786	-0.00532681	1	5991.69		0.650424	-0.016694	0.0149271	1	5748.64
0.24156	-0.00869845	0.0197053	1	5029.15		0.664372	-0.0184147	0.0110379	1	5602.24		0.381466	-0.00934099	0.022833	1	5280.71		0.62109	-0.0181634	0.0100618	1	5024.91		0.823473	-0.0208774	-0.00370178	1	5516.2		0.608346	-0.0145769	0.0169384	1	5087.91
0.201069	-0.00939556	0.0177333	1	4494.95		6.30E-01	-0.0166132	0.0132073	1	4952.33		0.326018	-0.00948556	0.0221134	1	4653.74		0.596524	-0.0166689	0.0114475	1	4554.16		0.821789	-0.0207988	-0.00206213	1	4993.3		0.559687	-0.0184325	0.00906125	1	4550.59
0.168359	-0.0147747	0.00776871	1	3929.84		0.591771	-0.0200382	0.00590404	1	4424.82		0.280892	-0.0127807	0.0127137	1	4145.45		0.573162	-0.0152833	0.0124356	1	4174.18		0.817518	-0.0201156	-0.000258818	1	4503.56		0.530125	-0.0155081	0.0114351	1	3982.33
0.14966	-0.0116688	0.0071419	1	3473.54		0.568548	-0.0151261	0.00885181	1	3866.65		0.246724	-0.0101236	0.0125655	1	3608.8		0.543542	-0.0154258	0.0133257	1	3757.31		0.811008	-0.0191752	0.00151489	1	4109.1		0.498382	-0.0133781	0.0135374	1	3523.18
0.127523	-0.0135067	0.00716823	1	2993.92		0.541331	-0.0148756	0.0115034	1	3416.09		0.215669	-0.00937752	0.0125775	1	3176.42		0.51196	-0.014202	0.0138438	1	3367.92		0.799485	-0.0187212	0.00354289	1	3677.42		0.455522	-0.0107479	0.0157143	1	3041.11
0.107222	-0.0117052	0.00733337	1	2609.33		0.503004	-0.0116666	0.0140284	1	2942.41		0.183768	-0.0109411	0.0124852	1	2777.32		0.480399	-0.0188502	0.00539996	1	3055.36		0.791915	-0.0212704	-0.00249605	1	3275.77		0.413323	-0.0088235	0.0170848	1	2654.86
0.0828558	-0.0123732	0.00761849	1	2208.35		0.4641	-0.0110319	0.0157198	1	2562.79		0.147572	-0.00990452	0.0119332	1	2360.41		0.463384	-0.0142712	0.00695963	1	2714.43		0.787893	-0.0180943	0.000516472	1	2902.33		0.361678	-0.00707165	0.0177514	1	2250.86
0.0607772	-0.0115466	0.00770855	1	1889.79		0.415277	-0.00914892	0.0167995	1	2167.03		0.116503	-0.0107992	0.011329	1	2028.54		0.441683	-0.014805	0.00883825	1	2398.24		0.776968	-0.0176432	0.00352299	1	2556.47		0.315497	-0.00607972	0.0174815	1	1929.75
0.0352274	-0.0121231	0.00762458	1	1561.18		0.370345	-0.00908945	0.017042	1	1852.83		0.0864953	-0.010716	0.0105454	1	1726.16		0.419534	-0.0125291	0.0103016	1	2146.11		0.759976	-0.0158927	0.00622357	1	2237.05		0.264195	-0.00634513	0.0162037	1	1597.59
0.0131594	-0.012011	0.00731781	1	1303.39		0.318642	-0.00855027	0.0164824	1	1528.83		0.0580557	-0.0115449	0.00965215	1	1452.17		0.390031	-0.0119818	0.0117287	1	1873.28		0.740903	-0.0151942	0.00834932	1	1983.6		0.217425	-0.00739594	0.0139639	1	1301.56
-0.0544598	-0.0139306	0.00441992	1	1041.3		0.274788	-0.00916357	0.0154149	1	1274.82		0.0279614	-0.0121284	0.00852042	1	1172.35		0.357364	-0.0107718	0.0126929	1	1622.57		0.713747	-0.0138452	0.010447	1	1710.73		0.139679	-0.00971328	0.00911146	1	1071.48
-0.0674582	-0.0136251	0.00371591	1	839306		0.186767	-0.0110361	0.0112891	1	1016.67		-0.0364981	-0.0140548	0.00510329	1	955454		0.327605	-0.0098265	0.0131351	1	1424.66		0.681894	-0.013162	0.012101	1	1461.62		0.115104	-0.0123651	0.00588393	1	838.824
-0.0804156	-0.0152026	0.00306382	1	638322		0.160926	-0.0125496	0.00963892	1	844836		-0.0529262	-0.0143747	0.00389733	1	738194		0.291837	-0.010805	0.0131761	1	1212.87		0.651524	-0.0125856	0.0131198	1	1266.29		0.101207	-0.0145629	0.00322955	1	662.935
-0.0902137	-0.0150158	0.00257542	1	487495		0.13505	-0.0117873	0.00776285	1	666916		-0.0647838	-0.0154571	0.00310415	1	573745		0.256257	-0.0102587	0.0126696	1	1020.88		0.613498	-0.0121431	0.013841	1	1058.88		0.0929617	-0.0170378	0.000812008	1	488.239
-0.100046	-0.0162705	0.00222009	1	342477		0.110636	-0.0143496	0.0059669	1	492125		-0.0761713	-0.0159005	0.00248121	1	413831		0.226595	-0.0107271	0.0119944	1	871521		0.530475	-0.0134167	0.011777	1	872448		0.0910172	-0.0186369	-0.00063188	1	360.567
-0.107706	-0.0160618	0.00201388	1	238469		0.093799	-0.0140608	0.00447895	1	363055		-0.0847576	-0.0164433	0.00217743	1	297369		0.151921	-0.0131381	0.00859891	1	714.24		0.501486	-0.012623	0.0116021	1	729184		0.0923396	-0.019659	-0.00134607	1	239.334
-0.104163	-0.0167849	0.00248098	1	144565		0.0792361	-0.0161723	3.12E-03	1	241.65		-0.093697	-0.0167796	0.00207657	1	189875		0.128445	-0.0127909	0.00729503	1	574747		0.467732	-0.0133197	0.0112749	1	580.33		0.105869	-0.0200103	-0.00069156	1	155.614
-0.112727	-0.0166115	0.00263513	1	83.1798		0.0830369	-0.0154434	0.00276865	1	168053		-0.0902087	-0.0167385	0.00270012	1	117202		0.110563	-0.0139744	0.00631978	1	468728		0.434617	-0.0131574	0.010772	1	450.38		0.104906	-0.0191107	0.000329141	1	83.1139
-0.121664	-0.0171341	0.00285429	1	40.1101		0.0732885	-0.0172907	2.17E-03	1	92.0762		-0.101174	-0.0170525	0.00303898	1	57.2918		0.0921223	-0.0146287	0.00532164	1	360.22		0.407144	-0.0136571	0.0102442	1	353478		0.100738	-0.0180186	0.00167065	0.790684	39.1987
-0.131047	-0.0169857	0.00307652	0.829982	13.7305		0.0674101	-0.0181098	0.00184147	0.901109	50.8215		-0.10998	-0.017219	3.31E-03	1	27.5307		0.0761358	-0.0153166	0.00448661	1	267454		0.376558	-0.0138713	0.00952344	1	256645		0.0926876	-0.0170764	0.00312322	0.435917	12.1249
-0.139442	-0.0173614	0.00326394	0.339788	2.57266		0.0616471	-0.0163852	0.00168104	0.544493	18.7632		-0.120917	-0.016969	0.00361738	0.58918	7.21158		0.0622087	-0.0158228	0.00384066	1	189757		0.347927	-0.0143961	0.00873972	1	176587		0.0809826	-0.0157588	0.00435809	0.216967	3.20803
-0.149435	-0.0172394	0.0034368	-0.0296448	0.347425		0.0560879	-0.018241	0.00182925	0.265312	4.72488		-0.132515	-0.0173259	0.00389396	0.0349826	0.485626		0.0499572	-0.0162961	0.00339513	1	126499		0.332818	-0.0144357	0.00847149	1	112593		0.0668726	-0.0143902	0.00521696	0.22805	3.48479
-0.159372	-0.0173158	0.00357905	0.114981	0.592358		0.0515405	-0.0183935	0.0019233	0.212137	3.14518		-0.142705	-0.0173367	0.00406756	-0.0921643	0.632717		0.0495574	-0.0162893	0.00368305	1	77.0424		0.306966	-0.0151504	0.0077324	0.869223	63.7714		0.0667291	-0.0201082	-0.0047293	0.366512	8.62415
-0.137519	-0.019206	-0.00525616	1	52.5409		0.0464471	-0.0165158	0.00207993	0.323797	6.84411		-0.138136	-0.0193168	-0.0060201	0.309727	2.32087		0.0391866	-0.0167376	0.0036346	1	45.0914		0.283426	-0.0154162	0.00695913	0.58856	29.6711		0.0815558	-0.0180197	-0.00198332	0.51862	16.9927
-0.120963	-0.0163783	-0.00218537	1	79.8048		0.0708858	-0.022057	-0.00656832	0.481826	14.8678		-0.122292	-0.0160888	-0.003489	1	106541		0.0273708	-0.0168053	0.00363371	0.814156	19.2143		0.265251	-0.0158953	0.00630963	0.411462	14.8919		0.0866559	-0.0163023	0.000658081	0.578726	21.0903
-0.116257	-0.0181608	0.000347071	1	39.2296		0.0880845	-0.0209291	-0.00403318	0.559315	19.8921		-0.113267	-0.0145738	-0.000934961	1	257826		0.0157519	-0.0171492	0.00366844	0.391928	4.68503		0.246461	-0.0162099	0.00557906	0.345144	10.6662		0.0826885	-0.0148402	0.00308663	0.541203	18.4633
-0.11925	-0.0161001	0.00241087	0.813957	13.2712		0.0984109	-0.0150231	-0.0010078	0.550925	19.2574		-0.112251	-0.017966	0.00114045	1	179869		0.00603834	-0.0171149	0.00369521	0.167643	1.09803		0.23042	-0.0165986	0.00489047	0.368973	12.0404		0.0717304	-0.0134654	0.00488757	0.462728	13.5482
-0.128509	-0.0177331	0.00411118	0.242188	1.53784		0.097986	-0.0179801	0.00211013	0.485104	15.0356		-0.117653	-0.0157036	0.00260859	1	101116		-0.00489474	-0.0172278	0.003732	0.226276	1.7461		0.218687	-0.0168183	0.00433863	0.41704	15.1536		0.0588255	-0.0126431	0.00577832	0.41541	10.9524
-0.140139	-0.016317	0.00512986	-0.0507756	0.4617		0.0910477	-0.016483	0.00404613	0.432531	12.0071		-0.126774	-0.0181451	0.00362503	1	52.3241		0.00364291	-0.0200637	-0.00624568	0.452829	6.15674		0.244043	-0.0201386	-0.00441219	0.460931	18559		-0.0963561	-0.0266044	-0.0218177	0.441869	12.4519
